title,isbn,author,publisher,publication_year,classification_no,category,subcategory,summary
資料查找入門,9789860000320,謝家豪,高雄市立圖書館,2013,000.673,總類與參考,圖書館學,本書以圖書館學為主軸，介紹資料查找的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
給初學者的社會福利,9789860000337,劉品妤,大塊文化,2021,500.714,社會科學,法律,本書以法律為主軸，介紹社會福利的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
從零開始學展覽策劃,9789860000344,劉冠宇,遠流出版,2018,900.726,藝術與設計,美術,本書以美術為主軸，介紹展覽策劃的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
懸疑推理與現代生活,9789860000351,張志明,時報文化,2009,850.043,文學,詩,本書以詩為主軸，介紹懸疑推理的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
友誼入門,9789860000368,王子涵,遠流出版,2005,870.053,兒童與青少年,科普讀物,本書以科普讀物為主軸，介紹友誼的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
給初學者的懸疑推理,9789860000375,李俊傑,晨星出版,2010,850.413,文學,散文,本書以散文為主軸，介紹懸疑推理的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
面試技巧案例研究,9789860000382,蔡俊傑,高雄市立圖書館,2012,550.556,考試與證照,語言檢定,本書以語言檢定為主軸，介紹面試技巧的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
體能訓練案例研究,9789860000399,劉家豪,木馬文化,2006,420.132,生活休閒,烹飪,本書以烹飪為主軸，介紹體能訓練的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
動植物觀察：理論與實務,9789860000405,王欣怡,三民書局,2005,300.276,自然科學,地球科學,本書以地球科學為主軸，介紹動植物觀察的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
友誼完全指南,9789860000412,鄭冠宇,城邦文化,2023,870.853,兒童與青少年,品格教育,本書以品格教育為主軸，介紹友誼的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
圖解情緒教育,9789860000429,郭怡君,商周出版,2020,870.115,兒童與青少年,科普讀物,本書以科普讀物為主軸，介紹情緒教育的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
資料查找案例研究,9789860000436,許佳穎,遠流出版,2018,000.072,總類與參考,圖書館學,本書以圖書館學為主軸，介紹資料查找的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
宇宙探索入門,9789860000443,謝志明,國立公共資訊圖書館,2016,300.303,自然科學,物理,本書以物理為主軸，介紹宇宙探索的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
圖解地方工藝,9789860000450,李柏翰,晨星出版,2007,900.515,藝術與設計,表演藝術,本書以表演藝術為主軸，介紹地方工藝的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
城市裡的影像敘事,9789860000467,張欣怡,時報文化,2007,900.168,藝術與設計,美術,本書以美術為主軸，介紹影像敘事的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
城市裡的展覽策劃,9789860000474,蔡柏翰,三民書局,2013,900.802,藝術與設計,表演藝術,本書以表演藝術為主軸，介紹展覽策劃的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
給初學者的高雄地方史,9789860000481,郭怡君,城邦文化,2016,700.448,歷史地理與旅遊,旅遊,本書以旅遊為主軸，介紹高雄地方史的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
從零開始學青春成長,9789860000498,劉冠宇,木馬文化,2010,850.768,文學,台灣文學,本書以台灣文學為主軸，介紹青春成長的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
健康照護的日常實踐,9789860000504,劉欣怡,晨星出版,2016,400.708,應用科學與科技,醫學保健,本書以醫學保健為主軸，介紹健康照護的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
